ID,SRCID,SNKID,COST,Cap
0,43,36,1,80
1,47,52,1,80
2,78,40,1,80
3,78,43,1,80
4,78,38,1,80
5,78,38,1,80
6,78,43,1,80
7,37,36,1,80
8,42,78,1,80
9,39,38,1,80
10,43,44,1,80
11,40,41,1,80
12,32,31,1,80
13,12,11,1,80
14,30,29,1,80
15,17,16,1,80
16,56,55,1,80
17,58,57,1,80
18,29,52,1,80
19,9,22,1,80
20,23,27,1,80
21,23,28,1,80
22,10,38,1,80
23,38,47,1,80
24,9,43,1,80
25,9,22,1,80
26,22,81,1,80
27,27,81,1,80
28,54,80,1,80
29,23,80,1,80
30,9,43,1,80
31,28,79,1,80
32,21,79,1,80
33,10,21,1,80
34,10,38,1,80
35,37,36,1,80
36,43,44,1,80
37,114,54,1,80
38,56,55,1,80
39,58,57,1,80
40,116,4,1,80
41,115,3,1,80
42,83,18,1,80
43,88,60,1,80
44,47,53,1,80
45,40,41,1,80
46,89,13,1,80
47,32,31,1,80
48,90,25,1,80
49,90,50,1,80
50,90,50,1,80
51,90,50,1,80
52,5,115,1,80
53,5,116,1,80
54,31,29,1,80
55,42,78,1,80
56,42,44,1,80
57,78,40,1,80
58,78,40,1,80
59,39,84,1,80
60,112,45,1,80
61,112,118,1,80
62,112,118,1,80
63,113,61,1,80
64,113,24,1,80
65,113,24,1,80
66,52,47,1,80
67,12,11,1,80
68,86,117,1,80
69,87,86,1,80
70,117,2,1,80
71,118,46,1,80
72,45,46,1,80
73,50,49,1,80
74,50,49,1,80
75,50,49,1,80
76,44,37,1,80
77,44,37,1,80
78,41,44,1,80
79,90,115,1,80
80,90,115,1,80
81,90,115,1,80
82,16,23,1,80
83,23,28,1,80
84,93,114,1,80
85,30,109,1,80
86,10,109,1,80
87,10,114,1,80
88,83,89,1,80
89,83,89,1,80
90,83,103,1,80
91,35,103,1,80
92,83,92,1,80
93,35,92,1,80
94,49,101,1,80
95,88,104,1,80
96,88,105,1,80
97,88,106,1,80
98,85,89,1,80
99,25,85,1,80
100,49,100,1,80
101,26,88,1,80
102,32,94,1,80
103,89,112,1,80
104,31,53,1,80
105,29,53,1,80
106,78,84,1,80
107,112,117,1,80
108,24,88,1,80
109,32,95,1,80
110,102,113,1,80
111,59,102,1,80
112,29,114,1,80
113,39,47,1,80
114,39,111,1,80
115,111,114,1,80
116,11,114,1,80
117,87,117,1,80
118,116,117,1,80
119,116,117,1,80
120,112,117,1,80
121,90,117,1,80
122,85,89,1,80
123,25,85,1,80
124,2,45,1,80
125,2,25,1,80
126,25,82,1,80
127,26,110,1,80
128,34,110,1,80
129,34,37,1,80
130,26,35,1,80
131,13,25,1,80
132,13,118,1,80
133,99,118,1,80
134,99,113,1,80
135,91,113,1,80
136,59,91,1,80
137,56,59,1,80
138,17,56,1,80
139,83,104,1,80
140,83,105,1,80
141,83,106,1,80
142,83,107,1,80
143,23,93,1,80
144,83,101,1,80
145,88,107,1,80
146,83,100,1,80
147,88,94,1,80
148,24,88,1,80
149,90,117,1,80
150,61,98,1,80
151,46,98,1,80
152,88,95,1,80
153,97,113,1,80
154,97,118,1,80
155,29,52,1,80
156,112,117,1,80
157,89,90,1,80
158,25,82,1,80
159,26,35,1,80
160,17,96,1,80
161,12,96,1,80
162,12,32,1,80
163,32,108,1,80
164,41,108,1,80
165,38,43,1,80
166,38,10,1,80
167,38,47,1,80
168,38,40,1,80
169,38,65,1,80
170,38,36,1,80
171,38,43,1,80
172,38,10,1,80
173,43,9,1,80
174,43,40,1,80
175,43,36,1,80
176,40,67,1,80
177,40,47,1,80
178,40,47,1,80
179,47,52,1,80
180,47,53,1,80
181,47,53,1,80
182,10,9,1,80
183,10,66,1,80
184,10,9,1,80
185,10,21,1,80
186,10,54,1,80
187,10,9,1,80
188,65,54,1,80
189,54,11,1,80
190,54,11,1,80
191,54,31,1,80
192,54,29,1,80
193,54,69,1,80
194,54,69,1,80
195,9,21,1,80
196,9,21,1,80
197,9,22,1,80
198,66,29,1,80
199,29,31,1,80
200,29,52,1,80
201,29,31,1,80
202,29,53,1,80
203,21,70,1,80
204,21,22,1,80
205,21,22,1,80
206,22,70,1,80
207,67,31,1,80
208,31,11,1,80
209,31,11,1,80
210,31,53,1,80
211,31,52,1,80
212,52,53,1,80
213,11,68,1,80
214,11,68,1,80
215,68,16,1,80
216,68,16,1,80
217,16,55,1,80
218,16,23,1,80
219,16,55,1,80
220,16,23,1,80
221,16,55,1,80
222,16,55,1,80
223,55,57,1,80
224,55,57,1,80
225,55,57,1,80
226,57,23,1,80
227,57,23,1,80
228,23,28,1,80
229,23,69,1,80
230,23,69,1,80
231,23,27,1,80
232,27,70,1,80
233,27,28,1,80
234,27,28,1,80
235,28,70,1,80
236,5,3,1,80
237,5,3,1,80
238,5,3,1,80
239,5,4,1,80
240,5,4,1,80
241,5,4,1,80
242,5,4,1,80
243,5,3,1,80
244,4,2,1,80
245,4,7,1,80
246,4,2,1,80
247,4,13,1,80
248,4,6,1,80
249,4,3,1,80
250,4,3,1,80
251,4,2,1,80
252,3,6,1,80
253,3,7,1,80
254,3,25,1,80
255,3,25,1,80
256,3,50,1,80
257,3,50,1,80
258,2,45,1,80
259,2,45,1,80
260,2,45,1,80
261,45,13,1,80
262,45,13,1,80
263,45,46,1,80
264,45,46,1,80
265,46,1,1,80
266,46,13,1,80
267,46,0,1,80
268,46,13,1,80
269,61,24,1,80
270,61,64,1,80
271,61,24,1,80
272,61,24,1,80
273,61,1,1,80
274,61,0,1,80
275,61,63,1,80
276,59,12,1,80
277,59,56,1,80
278,59,63,1,80
279,59,64,1,80
280,59,56,1,80
281,56,17,1,80
282,56,58,1,80
283,58,17,1,80
284,25,13,1,80
285,25,50,1,80
286,25,50,1,80
287,50,49,1,80
288,50,49,1,80
289,50,49,1,80
290,49,72,1,80
291,49,71,1,80
292,18,51,1,80
293,18,20,1,80
294,18,13,1,80
295,18,71,1,80
296,18,13,1,80
297,18,13,1,80
298,18,72,1,80
299,18,19,1,80
300,60,15,1,80
301,60,20,1,80
302,60,14,1,80
303,60,24,1,80
304,60,24,1,80
305,60,24,1,80
306,60,26,1,80
307,60,26,1,80
308,60,26,1,80
309,60,12,1,80
310,60,19,1,80
311,60,12,1,80
312,12,32,1,80
313,12,76,1,80
314,13,8,1,80
315,35,26,1,80
316,35,51,1,80
317,26,75,1,80
318,26,73,1,80
319,26,74,1,80
320,24,62,1,80
321,24,8,1,80
322,34,75,1,80
323,34,30,1,80
324,34,37,1,80
325,34,73,1,80
326,34,74,1,80
327,34,37,1,80
328,34,37,1,80
329,37,39,1,80
330,37,44,1,80
331,37,39,1,80
332,17,76,1,80
333,17,62,1,80
334,32,33,1,80
335,32,77,1,80
336,32,30,1,80
337,32,30,1,80
